shift_id,date,employee_id,employee_name,role,hours_worked,hourly_rate,labor_cost
7000,2022-01-01,E002,Giulia Russo,Co-Owner/FOH,10.3,0.0,0.0
7001,2022-01-01,E003,Gianni Ferraro,Head Chef,10.9,28.0,305.2
7002,2022-01-01,E001,Sofia Russo,Owner/Manager,10.4,0.0,0.0
7003,2022-01-02,E002,Giulia Russo,Co-Owner/FOH,12.2,0.0,0.0
7004,2022-01-02,E003,Gianni Ferraro,Head Chef,10.7,28.0,299.6
7005,2022-01-02,E001,Sofia Russo,Owner/Manager,12.2,0.0,0.0
7006,2022-01-04,E004,Luca Mancini,Sous Chef,8.6,22.0,189.2
7007,2022-01-04,E002,Giulia Russo,Co-Owner/FOH,11.1,0.0,0.0
7008,2022-01-04,E012,Raj Patel,Line Cook,9.4,18.0,169.2
7009,2022-01-04,E003,Gianni Ferraro,Head Chef,9.9,28.0,277.2
7010,2022-01-04,E001,Sofia Russo,Owner/Manager,12.0,0.0,0.0
7011,2022-01-05,E004,Luca Mancini,Sous Chef,9.1,22.0,200.2
7012,2022-01-05,E002,Giulia Russo,Co-Owner/FOH,11.2,0.0,0.0
7013,2022-01-05,E012,Raj Patel,Line Cook,8.8,18.0,158.4
7014,2022-01-05,E003,Gianni Ferraro,Head Chef,9.4,28.0,263.2
7015,2022-01-05,E001,Sofia Russo,Owner/Manager,11.3,0.0,0.0
7016,2022-01-06,E004,Luca Mancini,Sous Chef,9.1,22.0,200.2
7017,2022-01-06,E002,Giulia Russo,Co-Owner/FOH,11.9,0.0,0.0
7018,2022-01-06,E012,Raj Patel,Line Cook,9.3,18.0,167.4
7019,2022-01-06,E003,Gianni Ferraro,Head Chef,8.1,28.0,226.8
7020,2022-01-06,E001,Sofia Russo,Owner/Manager,10.7,0.0,0.0
7021,2022-01-07,E004,Luca Mancini,Sous Chef,10.4,22.0,228.8
7022,2022-01-07,E002,Giulia Russo,Co-Owner/FOH,11.7,0.0,0.0
7023,2022-01-07,E012,Raj Patel,Line Cook,10.7,18.0,192.6
7024,2022-01-07,E003,Gianni Ferraro,Head Chef,9.1,28.0,254.8
7025,2022-01-07,E001,Sofia Russo,Owner/Manager,10.7,0.0,0.0
7026,2022-01-08,E004,Luca Mancini,Sous Chef,10.0,22.0,220.0
7027,2022-01-08,E002,Giulia Russo,Co-Owner/FOH,12.2,0.0,0.0
7028,2022-01-08,E012,Raj Patel,Line Cook,9.4,18.0,169.2
7029,2022-01-08,E003,Gianni Ferraro,Head Chef,10.5,28.0,294.0
7030,2022-01-08,E001,Sofia Russo,Owner/Manager,11.2,0.0,0.0
7031,2022-01-09,E004,Luca Mancini,Sous Chef,9.6,22.0,211.2
7032,2022-01-09,E002,Giulia Russo,Co-Owner/FOH,12.5,0.0,0.0
7033,2022-01-09,E012,Raj Patel,Line Cook,9.2,18.0,165.6
7034,2022-01-09,E003,Gianni Ferraro,Head Chef,10.9,28.0,305.2
7035,2022-01-09,E001,Sofia Russo,Owner/Manager,10.9,0.0,0.0
7036,2022-01-11,E004,Luca Mancini,Sous Chef,9.2,22.0,202.4
7037,2022-01-11,E002,Giulia Russo,Co-Owner/FOH,10.7,0.0,0.0
7038,2022-01-11,E005,Carla DeLuca,Server,5.4,12.0,64.8
7039,2022-01-11,E012,Raj Patel,Line Cook,8.3,18.0,149.4
7040,2022-01-11,E003,Gianni Ferraro,Head Chef,8.6,28.0,240.8
7041,2022-01-11,E001,Sofia Russo,Owner/Manager,10.5,0.0,0.0
7042,2022-01-12,E004,Luca Mancini,Sous Chef,8.6,22.0,189.2
7043,2022-01-12,E002,Giulia Russo,Co-Owner/FOH,10.4,0.0,0.0
7044,2022-01-12,E005,Carla DeLuca,Server,6.4,12.0,76.8
7045,2022-01-12,E012,Raj Patel,Line Cook,8.8,18.0,158.4
7046,2022-01-12,E003,Gianni Ferraro,Head Chef,8.9,28.0,249.2
7047,2022-01-12,E001,Sofia Russo,Owner/Manager,11.8,0.0,0.0
7048,2022-01-13,E004,Luca Mancini,Sous Chef,8.8,22.0,193.6
7049,2022-01-13,E002,Giulia Russo,Co-Owner/FOH,12.0,0.0,0.0
